party,filename
SPD,spd.png
CDU,cdu.png
GRÜNE,gruene.png
FDP,fdp.png
PIRATEN,piraten.png
DIE LINKE,linke.png
NPD,npd.png
Die PARTEI,die-partei.png
FREIE WÄHLER,freie-waehler.png
BIG,big.png
FBI/FWG,fbi.png
ÖDP,oedp.png
Volksabstimmung,volksabstimmung.png
TIERSCHUTZliste,tierschutzliste.png
AD-Demokraten NRW,add.png
AfD,afd.png
AUFBRUCH C,aufbruch-c.png
BGE,bge.png
DBD,dbd.png
DKP,dkp.png
ZENTRUM,zentrum.png
DIE RECHTE,die-rechte.png
REP,rep.png
DIE VIOLETTEN,die-violetten.png
JED,jed.png
MLPD,mlpd.png
Gesundheitsforschung,gesundheitsforschung.png
Schöner Leben,schoener-leben.png
V-Partei³,v-partei.png
du.,du.png
MENSCHLICHE WELT,menschliche-welt.png
Die Humanisten,die-humanisten.png
Allianz Deutscher Demokraten,allianz-deutscher-demokraten.png
B*,bergpartei.png
BP,bayernpartei.png
BüSo,bueso.png
CDU/CSU,cdu.png
DM,deutsche-mitte.png
DiB,dib.png
Die Grauen,die-grauen.png
PDV,partei-der-vernunft.png
SGP,sgp.png
Tierschutzallianz,tierschutzallianz.png
Tierschutzpartei,tierschutzpartei.png
